,category_names,link_to_category,link_to_restaurants_list,to_keep
0,Afghan,https://www.yelp.fr/c/paris/afghan,https://www.yelp.fr/search?cflt=afghani&find_loc=Paris%2C+France,1
1,Cuisine africaine,https://www.yelp.fr/c/paris/africain,https://www.yelp.fr/search?cflt=african&find_loc=Paris%2C+France,1
2,Alsacien,https://www.yelp.fr/c/paris/alsacien,https://www.yelp.fr/search?cflt=alsatian&find_loc=Paris%2C+France,1
3,Américain traditionnel ,https://www.yelp.fr/c/paris/am%C3%A9ricain,https://www.yelp.fr/search?cflt=tradamerican&find_loc=Paris%2C+France,1
4,Cuisine du Maghreb,https://www.yelp.fr/c/paris/maghreb,https://www.yelp.fr/search?cflt=arabian&find_loc=Paris%2C+France,1
5,Argentin,https://www.yelp.fr/c/paris/argentine,https://www.yelp.fr/search?cflt=argentine&find_loc=Paris%2C+France,1
6,Arménien,https://www.yelp.fr/c/paris/arm%C3%A9nien,https://www.yelp.fr/search?cflt=armenian&find_loc=Paris%2C+France,1
7,Cuisine fusion asiatique,https://www.yelp.fr/c/paris/asiatique,https://www.yelp.fr/search?cflt=asianfusion&find_loc=Paris%2C+France,1
8,Australien,https://www.yelp.fr/c/paris/australien,https://www.yelp.fr/search?cflt=australian&find_loc=Paris,1
9,Autrichien,https://www.yelp.fr/c/paris/autrichien,https://www.yelp.fr/search?cflt=austrian&find_loc=Paris,1
10,Auvergnat,https://www.yelp.fr/c/paris/auvergnat,https://www.yelp.fr/search?cflt=auvergnat&find_loc=Paris%2C+France,1
11,Bangladais,https://www.yelp.fr/c/paris/bangladais,https://www.yelp.fr/search?cflt=bangladeshi&find_loc=Paris,1
12,BBQ & Grillades,https://www.yelp.fr/c/paris/barbecue-grillades,https://www.yelp.fr/search?cflt=bbq&find_loc=Paris%2C+France,1
13,Basque,https://www.yelp.fr/c/paris/basque,https://www.yelp.fr/search?cflt=basque&find_loc=Paris%2C+France,1
14,Belge,https://www.yelp.fr/c/paris/belge,https://www.yelp.fr/search?cflt=belgian&find_loc=Paris%2C+France,1
15,Bistrot,https://www.yelp.fr/c/paris/bistrots,https://www.yelp.fr/search?cflt=bistros&find_loc=Paris%2C+France,1
16,Bourguignon,https://www.yelp.fr/c/paris/bourguignon,https://www.yelp.fr/search?cflt=bourguignon&find_loc=Paris,1
17,Brasseries,https://www.yelp.fr/c/paris/brasseries,https://www.yelp.fr/search?cflt=brasseries&find_loc=Paris%2C+France,1
18,Brésilien,https://www.yelp.fr/c/paris/br%C3%A9silien,https://www.yelp.fr/search?cflt=brazilian&find_loc=Paris%2C+France,1
19,Petit déjeuner & brunch,https://www.yelp.fr/c/paris/petitd%C3%A9j_brunch,https://www.yelp.fr/search?cflt=breakfast_brunch&find_loc=Paris%2C+France,1
20,Britannique,https://www.yelp.fr/c/paris/britannique,https://www.yelp.fr/search?cflt=british&find_loc=Paris%2C+France,1
21,Buffet,https://www.yelp.fr/c/paris/buffets,https://www.yelp.fr/search?cflt=buffets&find_loc=Paris%2C+France,1
22,Burger,https://www.yelp.fr/c/paris/burgers,https://www.yelp.fr/search?cflt=burgers&find_loc=Paris%2C+France,1
23,Cafés,https://www.yelp.fr/c/paris/caf%C3%A9s,https://www.yelp.fr/search?cflt=cafes&find_loc=Paris%2C+France,1
24,Cajun,https://www.yelp.fr/c/paris/cajun,https://www.yelp.fr/search?cflt=cajun&find_loc=Paris%2C+France,1
25,Cambodgien,https://www.yelp.fr/c/paris/cambodgien,https://www.yelp.fr/search?cflt=cambodian&find_loc=Paris%2C+France,1
26,Cantonais,https://www.yelp.fr/c/paris/cantonais,https://www.yelp.fr/search?cflt=cantonese&find_loc=Paris%2C+France,1
27,Cuisine antillaise,https://www.yelp.fr/c/paris/antillais,https://www.yelp.fr/search?cflt=caribbean&find_loc=Paris%2C+France,1
28,Catalan,https://www.yelp.fr/c/paris/catalan,https://www.yelp.fr/search?cflt=catalan&find_loc=Paris,1
