,0
0,5
1,6
2,10
3,15
4,22
5,29
6,33
7,46
8,52
9,53
10,64
11,65
12,69
13,72
14,74
15,75
16,79
17,82
18,86
19,87
20,90
21,91
22,97
23,102
24,108
25,110
26,111
27,121
28,123
29,125
30,127
31,130
32,132
33,133
34,136
35,138
36,142
37,143
38,144
39,146
40,147
41,149
42,150
43,153
44,154
45,155
46,158
47,160
48,161
49,162
50,163
51,164
52,165
53,167
54,169
55,170
56,172
57,173
58,175
59,177
60,179
61,183
62,184
63,185
64,186
65,187
66,188
67,189
68,192
69,193
70,194
71,195
72,198
73,200
74,201
75,202
76,203
77,204
78,207
79,208
80,211
81,213
82,214
83,215
84,218
85,221
86,222
87,224
88,232
89,239
90,248
91,250
92,267
93,277
94,287
95,292
96,304
97,305
98,310
99,318
100,319
101,329
102,332
103,334
104,337
105,339
106,341
107,348
108,362
109,363
110,367
111,368
112,370
113,371
114,372
115,374
116,375
117,377
118,378
119,384
120,389
121,390
122,393
123,395
124,397
125,398
126,399
127,400
128,405
129,408
130,410
131,412
132,413
133,414
134,415
135,420
136,421
137,423
138,426
139,428
140,429
141,430
142,432
143,439
144,443
145,444
146,451
147,461
148,484
149,486
150,489
151,492
152,494
153,495
154,496
155,498
156,503
157,506
158,507
159,509
160,510
161,511
162,517
163,520
164,521
165,523
166,532
167,534
168,537
169,539
170,541
171,543
172,546
173,547
174,548
175,562
176,570
177,572
178,573
179,577
180,583
181,584
182,587
183,590
184,592
185,595
186,599
187,600
188,602
189,603
190,605
191,608
192,614
193,615
194,619
195,620
196,621
197,622
198,623
199,624
200,625
201,626
202,627
203,628
204,629
205,630
206,631
207,632
208,633
209,634
210,635
211,636
212,637
213,638
214,639
215,640
216,641
217,642
218,643
219,644
220,645
221,646
222,647
223,648
224,649
225,650
226,651
227,652
228,653
229,654
230,655
231,656
232,657
233,658
234,659
235,660
236,661
237,662
238,663
239,664
240,665
241,666
242,667
243,668
244,669
245,670
246,671
247,672
248,673
249,674
250,675
251,676
252,677
253,678
254,679
255,680
256,681
257,682
258,683
259,684
260,685
261,686
262,687
263,688
264,689
265,690
266,691
267,692
268,693
269,694
270,695
271,696
272,697
273,698
274,699
275,700
276,701
277,702
278,703
279,704
280,705
281,706
282,707
283,708
284,709
285,710
286,711
287,712
288,713
289,714
290,715
291,716
292,717
293,718
294,719
295,720
296,721
297,722
298,723
299,724
300,725
301,726
302,727
303,728
304,729
305,730
306,731
307,732
308,733
309,734
310,735
311,736
312,737
313,738
314,739
315,740
316,741
317,742
318,743
319,744
320,745
321,746
322,747
323,748
324,749
325,750
326,751
327,752
328,753
329,754
330,755
331,756
332,757
333,758
334,759
335,760
336,761
337,762
338,763
339,764
340,765
341,766
342,767
343,768
344,769
345,770
346,771
347,772
348,773
349,774
350,775
351,776
352,777
353,778
354,779
355,780
356,781
357,782
358,783
359,784
360,785
361,786
362,787
363,788
364,789
365,790
366,797
367,802
368,805
369,808
370,814
371,818
372,819
373,820
374,821
375,829
