,Unnamed: 0,restaurant_name,link_to_restaurant,category,review_count
0,0,L’Afghanistan,https://www.yelp.fr/biz/l-afghanistan-paris,Afghan,46
1,1,Buzkashi,https://www.yelp.fr/biz/buzkashi-paris-3,Afghan,20
2,2,Afghani,https://www.yelp.fr/biz/afghani-paris-2,Afghan,45
3,3,La Table Afghane,https://www.yelp.fr/biz/la-table-afghane-paris,Afghan,4
4,4,Kootchi,https://www.yelp.fr/biz/kootchi-paris-2,Afghan,14
5,5,Kabul Kitchen,https://www.yelp.fr/biz/kabul-kitchen-paris,Afghan,1
6,6,Chez Karole,https://www.yelp.fr/biz/chez-karole-paris,Afghan,0
7,7,Moussa l’Africain,https://www.yelp.fr/biz/moussa-l-africain-paris-3,Cuisine africaine,8
8,8,African Kitchen,https://www.yelp.fr/biz/african-kitchen-paris,Cuisine africaine,12
9,9,Malibu Lounge,https://www.yelp.fr/biz/malibu-lounge-paris,Cuisine africaine,0
10,10,Waly-Fay,https://www.yelp.fr/biz/waly-fay-paris-2,Cuisine africaine,82
11,11,Le Khelkom,https://www.yelp.fr/biz/le-khelkom-paris,Cuisine africaine,12
12,12,Le Djoliba,https://www.yelp.fr/biz/le-djoliba-paris,Cuisine africaine,5
13,13,Chez Zeyna,https://www.yelp.fr/biz/chez-zeyna-paris,Cuisine africaine,4
14,14,New Soul Food,https://www.yelp.fr/biz/new-soul-food-paris,Cuisine africaine,6
15,15,Babone,https://www.yelp.fr/biz/babone-paris,Cuisine africaine,1
16,16,Afrik’N’Fusion 20ème,https://www.yelp.fr/biz/afrik-n-fusion-20%C3%A8me-paris,Cuisine africaine,17
17,17,BMK Paris-Bamako,https://www.yelp.fr/biz/bmk-paris-bamako-paris,Cuisine africaine,4
18,18,Le Petit Dakar,https://www.yelp.fr/biz/le-petit-dakar-paris,Cuisine africaine,20
19,19,Yorubar - La Rivière Exotique,https://www.yelp.fr/biz/yorubar-la-rivi%C3%A8re-exotique-drancy,Cuisine africaine,1
20,20,Le Sunugal,https://www.yelp.fr/biz/le-sunugal-paris,Cuisine africaine,1
21,21,A La Banane Ivoirienne,https://www.yelp.fr/biz/a-la-banane-ivoirienne-paris,Cuisine africaine,28
22,22,African Lounge,https://www.yelp.fr/biz/african-lounge-paris-2,Cuisine africaine,12
23,23,Le Marabout,https://www.yelp.fr/biz/le-marabout-paris,Cuisine africaine,1
24,24,Le Palanka,https://www.yelp.fr/biz/le-palanka-paris,Cuisine africaine,14
25,25,Restaurant Godjo,https://www.yelp.fr/biz/restaurant-godjo-paris-2,Cuisine africaine,135
26,26,Oh Africa,https://www.yelp.fr/biz/oh-africa-paris-3,Cuisine africaine,3
27,27,Le Griot,https://www.yelp.fr/biz/le-griot-paris-2,Cuisine africaine,1
28,28,Afrik’N’Fusion 18ème,https://www.yelp.fr/biz/afrik-n-fusion-18%C3%A8me-paris,Cuisine africaine,5
29,29,Osè,https://www.yelp.fr/biz/os%C3%A8-paris-4,Cuisine africaine,12
30,30,Zanzibar,https://www.yelp.fr/biz/zanzibar-paris,Cuisine africaine,2
31,31,Les Marmites de Fa,https://www.yelp.fr/biz/les-marmites-de-fa-paris,Cuisine africaine,1
32,32,Le Pré Vert,https://www.yelp.fr/biz/le-pr%C3%A9-vert-paris-4,Cuisine africaine,2
33,33,Restaurant Africain Paris,https://www.yelp.fr/biz/restaurant-africain-paris-paris,Cuisine africaine,0
34,34,Les Délices du Sacré-Coeur,https://www.yelp.fr/biz/les-d%C3%A9lices-du-sacr%C3%A9-coeur-paris,Cuisine africaine,4
35,35,Au braisé d’Or,https://www.yelp.fr/biz/au-brais%C3%A9-d-or-paris,Cuisine africaine,2
36,36,Porokhane,https://www.yelp.fr/biz/porokhane-paris,Cuisine africaine,20
37,37,La Pointe des Almadies,https://www.yelp.fr/biz/la-pointe-des-almadies-paris,Cuisine africaine,5
38,38,Les Trois Visages,https://www.yelp.fr/biz/les-trois-visages-paris,Cuisine africaine,0
39,39,La Forêt Noire,https://www.yelp.fr/biz/la-for%C3%AAt-noire-paris,Cuisine africaine,2
40,40,Taif,https://www.yelp.fr/biz/taif-paris,Cuisine africaine,1
41,41,La Villa Maasaï,https://www.yelp.fr/biz/la-villa-maasa%C3%AF-paris,Cuisine africaine,3
42,42,Niébé,https://www.yelp.fr/biz/ni%C3%A9b%C3%A9-paris,Cuisine africaine,8
43,43,MICA,https://www.yelp.fr/biz/mica-paris-3,Cuisine africaine,1
44,44,Fifa,https://www.yelp.fr/biz/fifa-paris-2,Cuisine africaine,1
45,45,Le P’tit Père,https://www.yelp.fr/biz/le-p-tit-p%C3%A8re-paris,Cuisine africaine,2
46,46,La Braise Dorée,https://www.yelp.fr/biz/la-braise-dor%C3%A9e-paris,Cuisine africaine,5
47,47,Le Bouillon des Colonies,https://www.yelp.fr/biz/le-bouillon-des-colonies-paris,Cuisine africaine,27
48,48,Le Village,https://www.yelp.fr/biz/le-village-paris-14,Cuisine africaine,59
49,49,L’Alocodrome,https://www.yelp.fr/biz/l-alocodrome-paris,Cuisine africaine,1
50,50,Le Djoloff,https://www.yelp.fr/biz/le-djoloff-paris,Cuisine africaine,1
51,51,Zango,https://www.yelp.fr/biz/zango-paris-4,Cuisine africaine,163
52,52,Jambo,https://www.yelp.fr/biz/jambo-paris-3,Cuisine africaine,15
53,53,O’maki,https://www.yelp.fr/biz/o-maki-paris-2,Cuisine africaine,9
54,54,Madiba,https://www.yelp.fr/biz/madiba-paris,Cuisine africaine,2
55,55,Le Malibu,https://www.yelp.fr/biz/le-malibu-paris,Cuisine africaine,1
56,56,Au Clair de Lune,https://www.yelp.fr/biz/au-clair-de-lune-paris-6,Cuisine africaine,33
57,57,Restaurant Nioumre Franco Africain,https://www.yelp.fr/biz/restaurant-nioumre-franco-africain-paris,Cuisine africaine,11
58,58,Le Nilaja,https://www.yelp.fr/biz/le-nilaja-paris,Cuisine africaine,6
59,59,Le Fouta Djalon,https://www.yelp.fr/biz/le-fouta-djalon-paris-03,Cuisine africaine,7
60,60,24 Zones,https://www.yelp.fr/biz/24-zones-paris,Cuisine africaine,1
61,61,Morabeza,https://www.yelp.fr/biz/morabeza-paris-3,Cuisine africaine,2
62,62,Ohinéné,https://www.yelp.fr/biz/ohin%C3%A9n%C3%A9-paris-20-3,Cuisine africaine,5
63,63,Bona Suzy,https://www.yelp.fr/biz/bona-suzy-paris,Cuisine africaine,5
64,64,Balie Bousso,https://www.yelp.fr/biz/balie-bousso-paris,Cuisine africaine,0
65,65,La Gazelle,https://www.yelp.fr/biz/la-gazelle-paris-5,Cuisine africaine,29
66,66,Le Djembé,https://www.yelp.fr/biz/le-djemb%C3%A9-paris,Cuisine africaine,5
67,67,Yan Kady Chez Fatou,https://www.yelp.fr/biz/yan-kady-chez-fatou-montreuil-sous-bois,Cuisine africaine,4
68,68,Voyage du Palais,https://www.yelp.fr/biz/voyage-du-palais-bagnolet,Cuisine africaine,0
69,69,Mama Africa,https://www.yelp.fr/biz/mama-africa-paris-3,Cuisine africaine,1
70,70,Le Vent De Sable,https://www.yelp.fr/biz/le-vent-de-sable-paris,Cuisine africaine,11
71,71,Kaï Piero,https://www.yelp.fr/biz/ka%C3%AF-piero-paris,Cuisine africaine,0
72,72,La Bièvre - Chez Nacef,https://www.yelp.fr/biz/la-bi%C3%A8vre-chez-nacef-paris-2,Cuisine africaine,4
73,73,Le Coq Noir,https://www.yelp.fr/biz/le-coq-noir-clichy,Cuisine africaine,9
74,74,Le # by Amzo,https://www.yelp.fr/biz/le-by-amzo-paris,Cuisine africaine,0
75,75,Entoto,https://www.yelp.fr/biz/entoto-paris,Cuisine africaine,34
76,76,O 3 Têtes,https://www.yelp.fr/biz/o-3-t%C3%AAtes-stains-2,Cuisine africaine,0
77,77,Ménélik,https://www.yelp.fr/biz/m%C3%A9n%C3%A9lik-paris-2,Cuisine africaine,72
78,78,L’Étoile d’Afrique,https://www.yelp.fr/biz/l-%C3%A9toile-d-afrique-paris,Cuisine africaine,3
79,79,Chez Céleste,https://www.yelp.fr/biz/chez-c%C3%A9leste-paris-3,Cuisine africaine,0
80,80,Le Negus,https://www.yelp.fr/biz/le-negus-paris-3,Cuisine africaine,49
81,81,Massawa,https://www.yelp.fr/biz/massawa-paris,Cuisine africaine,29
82,82,Le Kokoriko,https://www.yelp.fr/biz/le-kokoriko-paris,Cuisine africaine,1
83,83,Evasion,https://www.yelp.fr/biz/evasion-paris,Cuisine africaine,1
84,84,Sav Heure Exotic,https://www.yelp.fr/biz/sav-heure-exotic-paris,Cuisine africaine,0
85,85,Le Jardin d’Afrique,https://www.yelp.fr/biz/le-jardin-d-afrique-paris,Cuisine africaine,0
86,86,Café Cacao,https://www.yelp.fr/biz/caf%C3%A9-cacao-aubervilliers-2,Cuisine africaine,1
87,87,L’Art Home,https://www.yelp.fr/biz/l-art-home-paris,Cuisine africaine,3
88,88,Saga Afrika,https://www.yelp.fr/biz/saga-afrika-paris,Cuisine africaine,1
89,89,Le Manguier,https://www.yelp.fr/biz/le-manguier-paris,Cuisine africaine,18
90,90,Mini-Resto,https://www.yelp.fr/biz/mini-resto-paris,Cuisine africaine,1
91,91,Aux Rêves d’Afrique Chez Clarice,https://www.yelp.fr/biz/aux-r%C3%AAves-d-afrique-chez-clarice-paris,Cuisine africaine,0
92,92,Le Mono,https://www.yelp.fr/biz/le-mono-paris-2,Cuisine africaine,17
