,0
0,0
1,1
2,2
3,3
4,4
5,7
6,8
7,9
8,11
9,12
10,13
11,14
12,16
13,17
14,18
15,19
16,20
17,21
18,23
19,24
20,25
21,26
22,27
23,28
24,30
25,31
26,32
27,34
28,35
29,36
30,37
31,38
32,39
33,40
34,41
35,42
36,43
37,44
38,45
39,47
40,48
41,49
42,50
43,51
44,54
45,55
46,56
47,57
48,58
49,59
50,60
51,61
52,62
53,63
54,66
55,67
56,68
57,70
58,71
59,73
60,76
61,77
62,78
63,80
64,81
65,83
66,84
67,85
68,88
69,89
70,92
71,93
72,94
73,95
74,96
75,98
76,99
77,100
78,101
79,103
80,104
81,105
82,106
83,107
84,109
85,112
86,113
87,114
88,115
89,116
90,117
91,118
92,119
93,120
94,122
95,124
96,126
97,128
98,129
99,131
100,134
101,135
102,137
103,139
104,140
105,141
106,145
107,148
108,151
109,152
110,156
111,157
112,159
113,166
114,168
115,171
116,174
117,176
118,178
119,180
120,181
121,182
122,190
123,191
124,196
125,197
126,199
127,205
128,206
129,209
130,210
131,212
132,216
133,217
134,219
135,220
136,223
137,225
138,226
139,227
140,228
141,229
142,230
143,231
144,233
145,234
146,235
147,236
148,237
149,238
150,240
151,241
152,242
153,243
154,244
155,245
156,246
157,247
158,249
159,251
160,252
161,253
162,254
163,255
164,256
165,257
166,258
167,259
168,260
169,261
170,262
171,263
172,264
173,265
174,266
175,268
176,269
177,270
178,271
179,272
180,273
181,274
182,275
183,276
184,278
185,279
186,280
187,281
188,282
189,283
190,284
191,285
192,286
193,288
194,289
195,290
196,291
197,293
198,294
199,295
200,296
201,297
202,298
203,299
204,300
205,301
206,302
207,303
208,306
209,307
210,308
211,309
212,311
213,312
214,313
215,314
216,315
217,316
218,317
219,320
220,321
221,322
222,323
223,324
224,325
225,326
226,327
227,328
228,330
229,331
230,333
231,335
232,336
233,338
234,340
235,342
236,343
237,344
238,345
239,346
240,347
241,349
242,350
243,351
244,352
245,353
246,354
247,355
248,356
249,357
250,358
251,359
252,360
253,361
254,364
255,365
256,366
257,369
258,373
259,376
260,379
261,380
262,381
263,382
264,383
265,385
266,386
267,387
268,388
269,391
270,392
271,394
272,396
273,401
274,402
275,403
276,404
277,406
278,407
279,409
280,411
281,416
282,417
283,418
284,419
285,422
286,424
287,425
288,427
289,431
290,433
291,434
292,435
293,436
294,437
295,438
296,440
297,441
298,442
299,445
300,446
301,447
302,448
303,449
304,450
305,452
306,453
307,454
308,455
309,456
310,457
311,458
312,459
313,460
314,462
315,463
316,464
317,465
318,466
319,467
320,468
321,469
322,470
323,471
324,472
325,473
326,474
327,475
328,476
329,477
330,478
331,479
332,480
333,481
334,482
335,483
336,485
337,487
338,488
339,490
340,491
341,493
342,497
343,499
344,500
345,501
346,502
347,504
348,505
349,508
350,512
351,513
352,514
353,515
354,516
355,518
356,519
357,522
358,524
359,525
360,526
361,527
362,528
363,529
364,530
365,531
366,533
367,535
368,536
369,538
370,540
371,542
372,544
373,545
374,549
375,550
376,551
377,552
378,553
379,554
380,555
381,556
382,557
383,558
384,559
385,560
386,561
387,563
388,564
389,565
390,566
391,567
392,568
393,569
394,571
395,574
396,575
397,576
398,578
399,579
400,580
401,581
402,582
403,585
404,586
405,588
406,589
407,591
408,593
409,594
410,596
411,597
412,598
413,601
414,604
415,606
416,607
417,609
418,610
419,611
420,612
421,613
422,616
423,617
424,618
425,791
426,792
427,793
428,794
429,795
430,796
431,798
432,799
433,800
434,801
435,803
436,804
437,806
438,807
439,809
440,810
441,811
442,812
443,813
444,815
445,816
446,817
447,822
448,823
449,824
450,825
451,826
452,827
453,828
454,831
455,832
456,833
457,834
458,836
459,837
460,838
461,840
462,841
463,842
464,843
465,844
466,845
467,846
468,848
469,850
470,851
471,852
472,853
473,854
474,855
475,856
476,857
477,858
478,859
479,860
480,1028
481,1029
482,1030
483,1031
484,1033
485,1034
486,1035
487,1036
488,1037
489,1038
490,1039
491,1040
492,1042
493,1043
494,1044
495,1045
496,1048
497,1049
498,1050
499,1051
500,1052
501,1053
502,1054
503,1055
504,1056
505,1057
506,1059
507,1061
508,1062
509,1064
510,1065
511,1066
512,1067
513,1068
514,1069
515,1071
516,1072
517,1073
518,1074
519,1075
520,1076
521,1078
522,1079
523,1081
524,1082
525,1083
526,1084
527,1086
528,1087
529,1088
530,1089
531,1090
532,1091
533,1092
534,1093
535,1096
536,1097
537,1098
538,1099
539,1101
540,1103
541,1105
542,1106
543,1107
544,1108
545,1109
546,1110
547,1111
548,1112
549,1113
550,1114
551,1115
552,1116
553,1117
554,1118
555,1119
556,1121
557,1122
558,1124
559,1125
560,1126
561,1127
562,1128
563,1129
564,1130
565,1131
566,1132
567,1133
568,1134
569,1135
570,1136
571,1137
572,1138
573,1139
574,1140
575,5454
576,5455
577,5456
578,5457
579,5458
580,5460
581,5462
582,5464
583,5465
584,5466
585,5467
586,5468
587,5469
588,5470
589,5471
590,5472
591,5473
592,5474
