,link_to_restaurant,restaurant_name,category,review_count
0,https://www.yelp.fr/biz/restaurant-sichuan-paris,Restaurant Sichuan,Chinois,2
1,https://www.yelp.fr/biz/chez-cay-paris,Chez Cay,Chinois,28
2,https://www.yelp.fr/biz/obao-paris,Obao,Chinois,3
3,https://www.yelp.fr/biz/le-comptoir-de-la-cr%C3%AApe-clichy,Le Comptoir de la Crêpe,Crêperies,1
4,https://www.yelp.fr/biz/rozell-caf%C3%A9-paris,Rozell Café,Crêperies,12
5,https://www.yelp.fr/biz/oh-regalade-paris,Oh! Regalade,Crêperies,7
6,https://www.yelp.fr/biz/palais-cristal-paris-4,Palais Cristal,Dim Sum,1
7,https://www.yelp.fr/biz/thym-thym-paris,Thym-Thym,Falafel,2
8,https://www.yelp.fr/biz/kebab-paris-3,Kebab,Falafel,1
9,https://www.yelp.fr/biz/les-quidams-paris,Les Quidams,Bistrot,1
10,https://www.yelp.fr/biz/caf%C3%A9-plume-paris-2,Café Plume,Brasseries,16
11,https://www.yelp.fr/biz/le-choupinet-paris,Le Choupinet,Brasseries,7
12,https://www.yelp.fr/biz/caf%C3%A9-la-colonnade-paris-2,Café La Colonnade,Brasseries,17
13,https://www.yelp.fr/biz/le-ju-paris,Le Ju’,Brasseries,7
14,https://www.yelp.fr/biz/le-saint-%C3%B4-paris,Le Saint Ô,Brasseries,1
15,https://www.yelp.fr/biz/le-prince-racine-paris,Le Prince Racine,Brasseries,6
16,https://www.yelp.fr/biz/l-aligot-paris,L’Aligot,Auvergnat,8
17,https://www.yelp.fr/biz/le-cantal-15-paris,Le Cantal 15,Auvergnat,1
18,https://www.yelp.fr/biz/antalya-paris-3,Antalya,BBQ & Grillades,1
19,https://www.yelp.fr/biz/buns-paris-3,Buns,Burger,1
20,https://www.yelp.fr/biz/bagel-burger-bar-paris,Bagel Burger Bar,Burger,1
21,https://www.yelp.fr/biz/pny-voyager-paris-new-york-paris,PNY Voyager - Paris New York,Burger,1
22,https://www.yelp.fr/biz/bao-burger-paris,Bao Burger,Burger,3
23,https://www.yelp.fr/biz/burger-n-juice-paris-2,Burger N Juice,Burger,1
24,https://www.yelp.fr/biz/birdy-paris,Birdy,Burger,6
25,https://www.yelp.fr/biz/la-cr%C3%AAperie-paris-12,la crêperie,Crêperies,71
26,https://www.yelp.fr/biz/cr%C3%AAperie-des-p%C3%AAcheurs-paris-4,Crêperie des Pêcheurs,Crêperies,2
27,https://www.yelp.fr/biz/maison-belleguic-paris,Maison Belleguic,Crêperies,1
28,https://www.yelp.fr/biz/les-docks-13-14-paris,Les Docks 13/14,Crêperies,2
29,https://www.yelp.fr/biz/creps-crew-paris,Crep’s Crew,Crêperies,17
30,https://www.yelp.fr/biz/happy-caff%C3%A9-paris-2,Happy Caffé,Crêperies,54
31,https://www.yelp.fr/biz/mongkok-paris,Mongkok,Cantonais,1
32,https://www.yelp.fr/biz/occo-chicken-paris,Occo Chicken,Poulet,2
33,https://www.yelp.fr/biz/tran-tran-zai-paris,Tran Tran Zai,Chinois,3
34,https://www.yelp.fr/biz/1995-paris-3,1995,Chinois,1
35,https://www.yelp.fr/biz/le-shangha%C3%AF-hang-zhou-paris,Le Shanghaï Hang-Zhou,Chinois,6
36,https://www.yelp.fr/biz/l-accolade-paris-3,L’Accolade,Bistrot,1
37,https://www.yelp.fr/biz/le-caf%C3%A9-de-la-mairie-paris,Le Café de la Mairie,Bistrot,4
38,https://www.yelp.fr/biz/le-trois-quart-paris,Le Trois-Quart,Bistrot,2
