,restaurant_name,link_to_restaurant,category
0,L’Afghanistan,https://www.yelp.fr/biz/l-afghanistan-paris,Afghan
1,Buzkashi,https://www.yelp.fr/biz/buzkashi-paris-3,Afghan
2,Afghani,https://www.yelp.fr/biz/afghani-paris-2,Afghan
3,La Table Afghane,https://www.yelp.fr/biz/la-table-afghane-paris,Afghan
4,Kootchi,https://www.yelp.fr/biz/kootchi-paris-2,Afghan
5,Kabul Kitchen,https://www.yelp.fr/biz/kabul-kitchen-paris,Afghan
6,Chez Karole,https://www.yelp.fr/biz/chez-karole-paris,Afghan
7,Moussa l’Africain,https://www.yelp.fr/biz/moussa-l-africain-paris-3,Cuisine africaine
8,African Kitchen,https://www.yelp.fr/biz/african-kitchen-paris,Cuisine africaine
9,Le Khelkom,https://www.yelp.fr/biz/le-khelkom-paris,Cuisine africaine
10,Malibu Lounge,https://www.yelp.fr/biz/malibu-lounge-paris,Cuisine africaine
11,Waly-Fay,https://www.yelp.fr/biz/waly-fay-paris-2,Cuisine africaine
12,Le Djoliba,https://www.yelp.fr/biz/le-djoliba-paris,Cuisine africaine
13,New Soul Food,https://www.yelp.fr/biz/new-soul-food-paris,Cuisine africaine
14,Chez Zeyna,https://www.yelp.fr/biz/chez-zeyna-paris,Cuisine africaine
15,Babone,https://www.yelp.fr/biz/babone-paris,Cuisine africaine
16,Afrik’N’Fusion 20ème,https://www.yelp.fr/biz/afrik-n-fusion-20%C3%A8me-paris,Cuisine africaine
17,Le Petit Dakar,https://www.yelp.fr/biz/le-petit-dakar-paris,Cuisine africaine
18,Yorubar - La Rivière Exotique,https://www.yelp.fr/biz/yorubar-la-rivi%C3%A8re-exotique-drancy,Cuisine africaine
19,Le Sunugal,https://www.yelp.fr/biz/le-sunugal-paris,Cuisine africaine
20,A La Banane Ivoirienne,https://www.yelp.fr/biz/a-la-banane-ivoirienne-paris,Cuisine africaine
21,Le Palanka,https://www.yelp.fr/biz/le-palanka-paris,Cuisine africaine
22,Le Marabout,https://www.yelp.fr/biz/le-marabout-paris,Cuisine africaine
23,BMK Paris-Bamako,https://www.yelp.fr/biz/bmk-paris-bamako-paris,Cuisine africaine
24,Le Griot,https://www.yelp.fr/biz/le-griot-paris-2,Cuisine africaine
25,African Lounge,https://www.yelp.fr/biz/african-lounge-paris-2,Cuisine africaine
26,Afrik’N’Fusion 18ème,https://www.yelp.fr/biz/afrik-n-fusion-18%C3%A8me-paris,Cuisine africaine
27,Osè,https://www.yelp.fr/biz/os%C3%A8-paris-4,Cuisine africaine
28,Zanzibar,https://www.yelp.fr/biz/zanzibar-paris,Cuisine africaine
29,Les Marmites de Fa,https://www.yelp.fr/biz/les-marmites-de-fa-paris,Cuisine africaine
30,Le Pré Vert,https://www.yelp.fr/biz/le-pr%C3%A9-vert-paris-4,Cuisine africaine
31,Restaurant Godjo,https://www.yelp.fr/biz/restaurant-godjo-paris-2,Cuisine africaine
32,Oh Africa,https://www.yelp.fr/biz/oh-africa-paris-3,Cuisine africaine
33,Restaurant Africain Paris,https://www.yelp.fr/biz/restaurant-africain-paris-paris,Cuisine africaine
34,La Pointe des Almadies,https://www.yelp.fr/biz/la-pointe-des-almadies-paris,Cuisine africaine
35,Taif,https://www.yelp.fr/biz/taif-paris,Cuisine africaine
36,La Villa Maasaï,https://www.yelp.fr/biz/la-villa-maasa%C3%AF-paris,Cuisine africaine
37,Niébé,https://www.yelp.fr/biz/ni%C3%A9b%C3%A9-paris,Cuisine africaine
38,MICA,https://www.yelp.fr/biz/mica-paris-3,Cuisine africaine
39,Fifa,https://www.yelp.fr/biz/fifa-paris-2,Cuisine africaine
40,La Braise Dorée,https://www.yelp.fr/biz/la-braise-dor%C3%A9e-paris,Cuisine africaine
41,La Gazelle,https://www.yelp.fr/biz/la-gazelle-paris-5,Cuisine africaine
42,Le Bouillon des Colonies,https://www.yelp.fr/biz/le-bouillon-des-colonies-paris,Cuisine africaine
43,Le Village,https://www.yelp.fr/biz/le-village-paris-14,Cuisine africaine
44,L’Alocodrome,https://www.yelp.fr/biz/l-alocodrome-paris,Cuisine africaine
45,Le Djoloff,https://www.yelp.fr/biz/le-djoloff-paris,Cuisine africaine
46,Les Délices du Sacré-Coeur,https://www.yelp.fr/biz/les-d%C3%A9lices-du-sacr%C3%A9-coeur-paris,Cuisine africaine
47,Zango,https://www.yelp.fr/biz/zango-paris-4,Cuisine africaine
48,Au braisé d’Or,https://www.yelp.fr/biz/au-brais%C3%A9-d-or-paris,Cuisine africaine
49,Porokhane,https://www.yelp.fr/biz/porokhane-paris,Cuisine africaine
50,Jambo,https://www.yelp.fr/biz/jambo-paris-3,Cuisine africaine
51,Le Malibu,https://www.yelp.fr/biz/le-malibu-paris,Cuisine africaine
52,Les Trois Visages,https://www.yelp.fr/biz/les-trois-visages-paris,Cuisine africaine
53,La Forêt Noire,https://www.yelp.fr/biz/la-for%C3%AAt-noire-paris,Cuisine africaine
54,Restaurant Nioumre Franco Africain,https://www.yelp.fr/biz/restaurant-nioumre-franco-africain-paris,Cuisine africaine
55,Le Nilaja,https://www.yelp.fr/biz/le-nilaja-paris,Cuisine africaine
56,Le Fouta Djalon,https://www.yelp.fr/biz/le-fouta-djalon-paris-03,Cuisine africaine
57,24 Zones,https://www.yelp.fr/biz/24-zones-paris,Cuisine africaine
58,Morabeza,https://www.yelp.fr/biz/morabeza-paris-3,Cuisine africaine
59,Ohinéné,https://www.yelp.fr/biz/ohin%C3%A9n%C3%A9-paris-20-3,Cuisine africaine
60,Le P’tit Père,https://www.yelp.fr/biz/le-p-tit-p%C3%A8re-paris,Cuisine africaine
61,Bona Suzy,https://www.yelp.fr/biz/bona-suzy-paris,Cuisine africaine
62,Le Djembé,https://www.yelp.fr/biz/le-djemb%C3%A9-paris,Cuisine africaine
63,Yan Kady Chez Fatou,https://www.yelp.fr/biz/yan-kady-chez-fatou-montreuil-sous-bois,Cuisine africaine
64,Voyage du Palais,https://www.yelp.fr/biz/voyage-du-palais-bagnolet,Cuisine africaine
65,Mama Africa,https://www.yelp.fr/biz/mama-africa-paris-3,Cuisine africaine
